id;title;date;journal;type;drug
2;An evaluation of benadryl, pyribenzamine, and other so-called diphenhydramine antihistaminic drugs in the treatment of allergy.;01-01-2019;Journal of emergency nursing;article;diphenhydramine
3;Diphenhydramine hydrochloride helps symptoms of ciguatera fish poisoning.;02-01-2019;The Journal of pediatrics;article;diphenhydramine
4;Tetracycline Resistance Patterns of Lactobacillus buchneri Group Strains.;01-01-2020;Journal of food protection;article;tetracycline
5;Appositional Tetracycline bone formation rates in the Beagle.;02-01-2020;American journal of veterinary research;article;tetracycline
6;Rapid reacquisition of contextual fear following extinction in mice: effects of amount of extinction, tetracycline acute ethanol withdrawal, and ethanol intoxication.;2020-01-01;Psychopharmacology;article;tetracycline
6;Rapid reacquisition of contextual fear following extinction in mice: effects of amount of extinction, tetracycline acute ethanol withdrawal, and ethanol intoxication.;2020-01-01;Psychopharmacology;article;ethanol
7;The High Cost of Epinephrine Autoinjectors and Possible Alternatives.;01-02-2020;The journal of allergy and clinical immunology. In practice;article;epinephrine
8;Time to epinephrine treatment is associated with the risk of mortality in children who achieve sustained ROSC after traumatic out-of-hospital cardiac arrest.;01-03-2020;The journal of allergy and clinical immunology. In practice;article;epinephrine
9;Gold nanoparticles synthesized from Euphorbia fischeriana root by green route method alleviates the isoprenaline hydrochloride induced myocardial infarction in rats.;01-01-2020;Journal of photochemistry and photobiology. B, Biology;article;isoprenaline
10;Clinical implications of umbilical artery Doppler changes after betamethasone administration;01-01-2020;The journal of maternal-fetal & neonatal medicine;article;betamethasone
11;Effects of Topical Application of Betamethasone on Imiquimod-induced Psoriasis-like Skin Inflammation in Mice.;01-01-2020;Journal of back and musculoskeletal rehabilitation;article;betamethasone
